id,group,original_id
1,simulationGroup1,1
2,simulationGroup1,2
3,simulationGroup1,3
4,simulationGroup1,4
5,simulationGroup1,5
6,simulationGroup1,6
7,simulationGroup1,7
8,simulationGroup1,8
9,simulationGroup1,9
10,simulationGroup1,10
11,simulationGroup1,11
12,simulationGroup1,12
13,simulationGroup1,13
14,simulationGroup1,14
15,simulationGroup1,15
16,simulationGroup1,16
17,simulationGroup1,17
18,simulationGroup1,18
19,simulationGroup1,19
20,simulationGroup1,20
21,simulationGroup1,21
22,simulationGroup1,22
23,simulationGroup1,23
24,simulationGroup1,24
25,simulationGroup1,25
26,simulationGroup1,26
27,simulationGroup1,27
28,simulationGroup1,28
29,simulationGroup1,29
30,simulationGroup1,30
31,simulationGroup1,31
32,simulationGroup1,32
33,simulationGroup1,33
34,simulationGroup1,34
35,simulationGroup1,35
36,simulationGroup1,36
37,simulationGroup1,37
38,simulationGroup1,38
39,simulationGroup1,39
40,simulationGroup1,40
41,simulationGroup1,41
42,simulationGroup1,42
43,simulationGroup1,43
44,simulationGroup1,44
45,simulationGroup1,45
46,simulationGroup1,46
47,simulationGroup1,47
48,simulationGroup1,48
49,simulationGroup1,49
50,simulationGroup1,50
51,simulationGroup1,51
52,simulationGroup1,52
53,simulationGroup1,53
54,simulationGroup1,54
55,simulationGroup1,55
56,simulationGroup1,56
57,simulationGroup1,57
58,simulationGroup1,58
59,simulationGroup1,59
60,simulationGroup1,60
61,simulationGroup1,61
62,simulationGroup1,62
63,simulationGroup1,63
64,simulationGroup1,64
65,simulationGroup1,65
66,simulationGroup1,66
67,simulationGroup1,67
68,simulationGroup1,68
69,simulationGroup1,69
70,simulationGroup1,70
71,simulationGroup1,71
72,simulationGroup1,72
73,simulationGroup1,73
74,simulationGroup1,74
75,simulationGroup1,75
76,simulationGroup1,76
77,simulationGroup1,77
78,simulationGroup1,78
79,simulationGroup1,79
80,simulationGroup1,80
81,simulationGroup1,81
82,simulationGroup1,82
83,simulationGroup1,83
84,simulationGroup1,84
85,simulationGroup1,85
86,simulationGroup1,86
87,simulationGroup1,87
88,simulationGroup1,88
89,simulationGroup1,89
90,simulationGroup1,90
91,simulationGroup1,91
92,simulationGroup1,92
93,simulationGroup1,93
94,simulationGroup1,94
95,simulationGroup1,95
96,simulationGroup1,96
97,simulationGroup1,97
98,simulationGroup1,98
99,simulationGroup1,99
100,simulationGroup1,100
101,simulationGroup2,1
102,simulationGroup2,2
103,simulationGroup2,3
104,simulationGroup2,4
105,simulationGroup2,5
106,simulationGroup2,6
107,simulationGroup2,7
108,simulationGroup2,8
109,simulationGroup2,9
110,simulationGroup2,10
