rep,phi_S_pop,phi_L_pop,delta_AB_pop,omega_S,omega_L,omega_AB,beta_AGE,beta_G1,beta_G2,delta_S,delta_L,sigma_AB,group
49,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
50,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
51,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
52,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
53,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
54,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
55,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
56,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
57,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
58,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
59,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
60,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
61,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
62,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
63,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
64,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
65,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
66,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
67,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
68,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
69,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
70,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
71,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
72,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
73,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
